tractid,tracta,countya,statea,pop19,incpc19
36081036100,Census Tract 361, Queens County, New York,2238,19573
36081036300,Census Tract 363, Queens County, New York,1771,21119
36081037100,Census Tract 371, Queens County, New York,1335,27807
36081037700,Census Tract 377, Queens County, New York,3620,19317
36081037900,Census Tract 379, Queens County, New York,6851,18067
36081041300,Census Tract 413, Queens County, New York,4696,15805
36005020000,Census Tract 200, Bronx County, New York,4711,17453
36005020501,Census Tract 205.01, Bronx County, New York,6976,15438
36005020502,Census Tract 205.02, Bronx County, New York,2160,20609
36005020900,Census Tract 209, Bronx County, New York,4287,15778
36005021001,Census Tract 210.01, Bronx County, New York,8930,29241
36005021002,Census Tract 210.02, Bronx County, New York,7613,28750
36005021700,Census Tract 217, Bronx County, New York,5124,18392
36005022101,Census Tract 221.01, Bronx County, New York,4133,14169
36005022102,Census Tract 221.02, Bronx County, New York,5411,13093
36005022200,Census Tract 222, Bronx County, New York,3293,19758
36005023800,Census Tract 238, Bronx County, New York,2241,24109
36081046000,Census Tract 460, Queens County, New York,6049,20064
36081047900,Census Tract 479, Queens County, New York,5115,23743
36081050600,Census Tract 506, Queens County, New York,1421,34335
36081051100,Census Tract 511, Queens County, New York,2290,42873
36081051700,Census Tract 517, Queens County, New York,2007,37317
36081052200,Census Tract 522, Queens County, New York,1760,28921
36081053000,Census Tract 530, Queens County, New York,2473,26479
36081053900,Census Tract 539, Queens County, New York,4433,32391
36081054500,Census Tract 545, Queens County, New York,4039,25571
36081060100,Census Tract 601, Queens County, New York,2324,31280
36081061200,Census Tract 612, Queens County, New York,2022,34547
36081063000,Census Tract 630, Queens County, New York,1503,49000
36081063700,Census Tract 637, Queens County, New York,3432,36322
36081064600,Census Tract 646, Queens County, New York,2976,33550
36085022600,Census Tract 226, Richmond County, New York,8141,45137
36085023100,Census Tract 231, Richmond County, New York,5276,23487
36085031902,Census Tract 319.02, Richmond County, New York,5343,23975
36085013201,Census Tract 132.01, Richmond County, New York,1480,42382
36085014100,Census Tract 141, Richmond County, New York,2287,35445
36085000600,Census Tract 6, Richmond County, New York,2311,36171
36085001800,Census Tract 18, Richmond County, New York,588,30550
36085003300,Census Tract 33, Richmond County, New York,3751,38893
36085007000,Census Tract 70, Richmond County, New York,9480,30631
36085010500,Census Tract 105, Richmond County, New York,4372,35049
36085011201,Census Tract 112.01, Richmond County, New York,6358,32646
36085015602,Census Tract 156.02, Richmond County, New York,3242,40994
36085017700,Census Tract 177, Richmond County, New York,5983,63788
36085027301,Census Tract 273.01, Richmond County, New York,3782,40589
36085027704,Census Tract 277.04, Richmond County, New York,4629,38449
36085032300,Census Tract 323, Richmond County, New York,1073,33175
36085004000,Census Tract 40, Richmond County, New York,12548,21463
36085012804,Census Tract 128.04, Richmond County, New York,4042,37930
36085013302,Census Tract 133.02, Richmond County, New York,3096,20113
36085015400,Census Tract 154, Richmond County, New York,0,NA
36085016901,Census Tract 169.01, Richmond County, New York,3808,39369
36085017007,Census Tract 170.07, Richmond County, New York,5547,31028
36085027302,Census Tract 273.02, Richmond County, New York,4060,29168
36085027702,Census Tract 277.02, Richmond County, New York,6893,35268
36085027900,Census Tract 279, Richmond County, New York,2219,48786
36085030302,Census Tract 303.02, Richmond County, New York,6702,27002
36085014605,Census Tract 146.05, Richmond County, New York,3853,39244
36085017008,Census Tract 170.08, Richmond County, New York,7795,39571
36005016000,Census Tract 160, Bronx County, New York,3666,37775
36005016200,Census Tract 162, Bronx County, New York,1870,36113
36005016500,Census Tract 165, Bronx County, New York,965,14668
36005017500,Census Tract 175, Bronx County, New York,6536,18614
36005021501,Census Tract 215.01, Bronx County, New York,4565,15521
36005021502,Census Tract 215.02, Bronx County, New York,6532,13448
36005023000,Census Tract 230, Bronx County, New York,2802,20371
36005025300,Census Tract 253, Bronx County, New York,6199,14813
36005026100,Census Tract 261, Bronx County, New York,2097,44591
36005027900,Census Tract 279, Bronx County, New York,7379,27226
36005030000,Census Tract 300, Bronx County, New York,6021,31901
36005031900,Census Tract 319, Bronx County, New York,633,6943
36005034000,Census Tract 340, Bronx County, New York,5606,20053
36005034400,Census Tract 344, Bronx County, New York,2172,26395
36005035000,Census Tract 350, Bronx County, New York,2063,30229
36005036100,Census Tract 361, Bronx County, New York,5576,18544
36005036501,Census Tract 365.01, Bronx County, New York,3901,14789
36081070700,Census Tract 707, Queens County, New York,2547,56594
36081070900,Census Tract 709, Queens County, New York,2869,44894
36081072900,Census Tract 729, Queens County, New York,1437,45230
36081077500,Census Tract 775, Queens County, New York,2234,49010
36081079200,Census Tract 792, Queens County, New York,2414,31104
36081079300,Census Tract 793, Queens County, New York,0,NA
36081080301,Census Tract 803.01, Queens County, New York,3859,22450
36061025500,Census Tract 255, New York County, New York,5999,30105
36061022200,Census Tract 222, New York County, New York,3369,43525
36081022001,Census Tract 220.01, Queens County, New York,6272,40720
36081024300,Census Tract 243, Queens County, New York,5088,31685
36081027000,Census Tract 270, Queens County, New York,2190,25858
36081027800,Census Tract 278, Queens County, New York,2339,21066
36081028100,Census Tract 281, Queens County, New York,5013,34676
36081033401,Census Tract 334.01, Queens County, New York,3767,31769
36081034700,Census Tract 347, Queens County, New York,2966,23903
36081037600,Census Tract 376, Queens County, New York,6121,32129
36081039900,Census Tract 399, Queens County, New York,3862,19398
36081040400,Census Tract 404, Queens County, New York,4138,30078
36081043900,Census Tract 439, Queens County, New York,3610,18721
36081045600,Census Tract 456, Queens County, New York,1446,25025
36081045800,Census Tract 458, Queens County, New York,2348,39409
36081046700,Census Tract 467, Queens County, New York,5895,19569
36081047800,Census Tract 478, Queens County, New York,4925,34820
36081049500,Census Tract 495, Queens County, New York,1515,32820
36081051200,Census Tract 512, Queens County, New York,2512,29790
36081113900,Census Tract 1139, Queens County, New York,3356,34436
36081114700,Census Tract 1147, Queens County, New York,1726,42672
36081073100,Census Tract 731, Queens County, New York,1507,48916
36047022800,Census Tract 228, Kings County, New York,3627,16488
36047113400,Census Tract 1134, Kings County, New York,3105,13932
36047115600,Census Tract 1156, Kings County, New York,3924,13407
36047117800,Census Tract 1178, Kings County, New York,1694,15399
36047087800,Census Tract 878, Kings County, New York,2647,23979
36047088200,Census Tract 882, Kings County, New York,6353,22733
36047089000,Census Tract 890, Kings County, New York,5912,21454
36047089400,Census Tract 894, Kings County, New York,3254,18286
36047093000,Census Tract 930, Kings County, New York,3068,29758
36047096200,Census Tract 962, Kings County, New York,1838,25658
36047098400,Census Tract 984, Kings County, New York,1998,30250
36047041401,Census Tract 414.01, Kings County, New York,1541,26725
36047041500,Census Tract 415, Kings County, New York,4353,25879
36047041800,Census Tract 418, Kings County, New York,2960,23370
36047043100,Census Tract 431, Kings County, New York,4694,27229
36047043800,Census Tract 438, Kings County, New York,2620,24444
36085003600,Census Tract 36, Richmond County, New York,2833,32668
36085011202,Census Tract 112.02, Richmond County, New York,5731,32710
36085029103,Census Tract 291.03, Richmond County, New York,8266,38728
36081048500,Census Tract 485, Queens County, New York,4366,28285
36047032800,Census Tract 328, Kings County, New York,2688,37975
36047035100,Census Tract 351, Kings County, New York,4650,22885
36047073200,Census Tract 732, Kings County, New York,2195,32336
36047074000,Census Tract 740, Kings County, New York,3598,27859
36047074800,Census Tract 748, Kings County, New York,1957,42569
36047075400,Census Tract 754, Kings County, New York,1294,48577
36047076200,Census Tract 762, Kings County, New York,4285,36210
36047081800,Census Tract 818, Kings County, New York,4528,31024
36047082200,Census Tract 822, Kings County, New York,7170,28007
36047083000,Census Tract 830, Kings County, New York,6306,24972
36047083400,Census Tract 834, Kings County, New York,1745,24808
36005022403,Census Tract 224.03, Bronx County, New York,3194,25162
36005023703,Census Tract 237.03, Bronx County, New York,5574,13710
36005024501,Census Tract 245.01, Bronx County, New York,4871,10815
36005024502,Census Tract 245.02, Bronx County, New York,3677,15971
36005022404,Census Tract 224.04, Bronx County, New York,4203,29041
36005023704,Census Tract 237.04, Bronx County, New York,3803,10697
36005026701,Census Tract 267.01, Bronx County, New York,4185,19754
36005026702,Census Tract 267.02, Bronx County, New York,7895,17224
36005027401,Census Tract 274.01, Bronx County, New York,4693,40116
36005027402,Census Tract 274.02, Bronx County, New York,3481,39164
36047014900,Census Tract 149, Kings County, New York,5859,69039
36047015000,Census Tract 150, Kings County, New York,1598,42179
36047015300,Census Tract 153, Kings County, New York,2622,88116
36047016300,Census Tract 163, Kings County, New York,3388,71720
36081062300,Census Tract 623, Queens County, New York,2246,36231
36081062900,Census Tract 629, Queens County, New York,3034,35515
