TRTID10,state,county,tract,cbsa10,POP70SP1,INCPC70
34003001000,NJ,Bergen County,Census Tract 10,35620,6467.279026,7462.138
34003002100,NJ,Bergen County,Census Tract 21,35620,6335.227781,6203.163
34003002200,NJ,Bergen County,Census Tract 22,35620,2282.955402,6200.514
34003002300,NJ,Bergen County,Census Tract 23,35620,2740.442441,6200.514
34003003100,NJ,Bergen County,Census Tract 31,35620,7250.607179,5033.698
34003003200,NJ,Bergen County,Census Tract 32,35620,3429.063187,4817.219
34003003300,NJ,Bergen County,Census Tract 33,35620,7585.580905,5466.846
34003003401,NJ,Bergen County,Census Tract 34.01,35620,4403.954008,5166.989
34003003402,NJ,Bergen County,Census Tract 34.02,35620,6032.225217,5170.756
34003003500,NJ,Bergen County,Census Tract 35,35620,5183.999987,4949.018
34003004001,NJ,Bergen County,Census Tract 40.01,35620,3063.481088,5055.432
34003004002,NJ,Bergen County,Census Tract 40.02,35620,4707.32316,5055.432
34003005000,NJ,Bergen County,Census Tract 50,35620,7964.871089,4454.327
34003006100,NJ,Bergen County,Census Tract 61,35620,2809.231861,4380.295
34003006201,NJ,Bergen County,Census Tract 62.01,35620,3187.202136,5320.525
34003006202,NJ,Bergen County,Census Tract 62.02,35620,3407.797767,5320.525
34003006300,NJ,Bergen County,Census Tract 63,35620,4506.179327,4210.322
34003007001,NJ,Bergen County,Census Tract 70.01,35620,3722.276287,6786.918
34003007002,NJ,Bergen County,Census Tract 70.02,35620,4430.745748,6786.918
34003008000,NJ,Bergen County,Census Tract 80,35620,7469.006102,6097.992
34003009100,NJ,Bergen County,Census Tract 91,35620,4342.264613,7611.175
34003009200,NJ,Bergen County,Census Tract 92,35620,4945.426798,7611.174
34003010100,NJ,Bergen County,Census Tract 101,35620,5084.000007,5315.74
34003010200,NJ,Bergen County,Census Tract 102,35620,4909.999994,4736.071
34003010300,NJ,Bergen County,Census Tract 103,35620,8506.524431,5405.356
34003011100,NJ,Bergen County,Census Tract 111,35620,5191.36197,4748.15
34003011200,NJ,Bergen County,Census Tract 112,35620,5123.999998,4843.553
34003011300,NJ,Bergen County,Census Tract 113,35620,5569.999977,5039.26
34003011400,NJ,Bergen County,Census Tract 114,35620,5062.999974,4538.674
34003012001,NJ,Bergen County,Census Tract 120.01,35620,4676.194364,4657.632
34003012002,NJ,Bergen County,Census Tract 120.02,35620,3128.805672,4657.632
34003013001,NJ,Bergen County,Census Tract 130.01,35620,1474.422428,5676.767
34003013002,NJ,Bergen County,Census Tract 130.02,35620,3516.388471,5766.47
34003014000,NJ,Bergen County,Census Tract 140,35620,9345.510582,5953.293
34003015100,NJ,Bergen County,Census Tract 151,35620,2461.000016,13491.21
34003015200,NJ,Bergen County,Census Tract 152,35620,7616.22,5696.558
34003015300,NJ,Bergen County,Census Tract 153,35620,4943.153984,4254.239
34003015400,NJ,Bergen County,Census Tract 154,35620,4961.999991,4168.034
34003015500,NJ,Bergen County,Census Tract 155,35620,5054.000089,10113.2
34003016000,NJ,Bergen County,Census Tract 160,35620,6316.000011,9260.273
34003017100,NJ,Bergen County,Census Tract 171,35620,9395.999991,6913.555
34003017200,NJ,Bergen County,Census Tract 172,35620,6614.000007,5089.114
34003017300,NJ,Bergen County,Census Tract 173,35620,6370.00003,6586.094
34003017400,NJ,Bergen County,Census Tract 174,35620,7198.833559,6060.424
34003017500,NJ,Bergen County,Census Tract 175,35620,9853.638299,5595.278
34003018100,NJ,Bergen County,Census Tract 181,35620,6534.999956,4499.834
34003018200,NJ,Bergen County,Census Tract 182,35620,3615.630208,5182.023
34003019102,NJ,Bergen County,Census Tract 191.02,35620,3942.494601,7808.553
34003019103,NJ,Bergen County,Census Tract 191.03,35620,3177.356784,7808.553
34003019104,NJ,Bergen County,Census Tract 191.04,35620,3118.949487,7808.553
34003019202,NJ,Bergen County,Census Tract 192.02,35620,3701.452303,6374.065
34003019203,NJ,Bergen County,Census Tract 192.03,35620,1560.982092,6367.094
34003019204,NJ,Bergen County,Census Tract 192.04,35620,1976.17538,6367.094
34003019303,NJ,Bergen County,Census Tract 193.03,35620,4639.782285,8136.489
34003019304,NJ,Bergen County,Census Tract 193.04,35620,2191.738517,8136.49
34003019305,NJ,Bergen County,Census Tract 193.05,35620,4602.981783,8138.084
34003019306,NJ,Bergen County,Census Tract 193.06,35620,1819.505317,8138.283
34003020100,NJ,Bergen County,Census Tract 201,35620,2960.107388,9090.722
34003020200,NJ,Bergen County,Census Tract 202,35620,4591.855257,9090.722
34003021100,NJ,Bergen County,Census Tract 211,35620,5914.999976,4139.384
34003021200,NJ,Bergen County,Census Tract 212,35620,4707.000003,4295.666
34003021300,NJ,Bergen County,Census Tract 213,35620,6589.999985,4975.065
34003021400,NJ,Bergen County,Census Tract 214,35620,4669.183797,4516.687
34003021500,NJ,Bergen County,Census Tract 215,35620,4748.816385,3568.066
34003021600,NJ,Bergen County,Census Tract 216,35620,4076.000034,4031.962
34003022100,NJ,Bergen County,Census Tract 221,35620,4034.538815,6923.782
34003022200,NJ,Bergen County,Census Tract 222,35620,8882.563809,7375.767
34003023100,NJ,Bergen County,Census Tract 231,35620,2761.999999,4663.856
34003023200,NJ,Bergen County,Census Tract 232,35620,5822.510229,5867.285
34003023301,NJ,Bergen County,Census Tract 233.01,35620,2199.358716,6907.609
34003023302,NJ,Bergen County,Census Tract 233.02,35620,3725.641333,6907.609
